serial number,P.O. number,Company,date of order,ship date,Comments,inv number,Unknown
1805704P,646,Premier,8/16/2017,5/11/2018,7' Pro,100439,
1708508,659,Premier,8/18/2017,,5' standard,,
1708708,999,3D,8/20/2017,,7' standard  Chris Riedle 208 659 6876,,
1708802p,668,Premier,8/22/2017,,8' pro,,
1708801,999,3d,8/24/2017,,8' standard with left edger  Jason Anderson ,,
1709508mp,710,Premier ,9/6/2017,, 5' mini pro,,
1709803P,718,Premier ,9/8/2017,,8' pro,,
1709509MP,723,Premier,9/13/2017,,5' mini pro,,
1709614,730,Premier,9/18/2017,,6' Standard,,
1709510MP,733,Premier,9/19/2017,,5' Mini Pro,,
1709603P,744,Premier,9/21/2017,,6' Pro,,
1709709,745,Premier,9/21/2017,,7' Standard w/ tongue and left edger,,
1709710,758,Premier,9/27/2017,,7’ standard w/ tongue,,
1710604P,768,Premier,9/29/2017,,6' Pro,,
1710509,779,Premier,10/4/2017,,5' Standard w/ tongue and left edger (warranty),,
1710615,812,Premier,10/13/2017,,6’ standard w/ tongue and left edger,,
1710708P,821,Premier,10/18/2017,,7’ pro,,
1710616,822,Premier,10/18/2017,,6’ standard w/ tongue and left edger,,
1710709P,827,Premier,10/19/2017,,7’ pro,,
1710617,843,Premier,10/24/2017,,6' Standard w/ tongue,,
1711605P,866,Premier,11/6/2017,11/13/2017,6' Pro,,
1711606P,867,Premier,11/6/2017,11/14/2017,6' Pro,,
1711711,883,Premier,11/9/2017,11/13/2017,7' standard,,
1711511MP,893,Premier,11/14/2017,,5' Mini Pro (Stock from P.O. 646),,
1711710P,900,Premier,11/16/2017,11/22/2017,7' Pro,,
1711510,911,Premier,11/20/2017,12/12/2017,5' Standard W/ left edger,,
1711618,924,Premier,11/22/2017,11/29/2017,6' Standard w/ tongue and right edger,,
1805602MP,946,Premier,11/27/2017,5/1/2018,6' Mini Pro,100494,
1711608MP,945,Premier,11/28/2017,11/29/2017,6' Mini Pro (Stock from P.O. 646),,
1712609MP,952,Premier,12/4/2017,12/13/2017,6' Mini Pro,,
,10923,1612520,12/9/2017,,,,
1712711P,983,Premier,12/13/2017,1/4/2018,7' Pro,,
1711512MP,985,Premier,12/13/2017,12/20/2017,5' Mini Pro,,
1712619,1002,Premier,12/19/2017,12/21/2017,6' Standard w/ Tongue and Right Edger,,
1801801P,1012,Premier,12/28/2017,1/10/2018,8' Pro,100483,
1801501MP,1013,Premier,12/29/2017,1/10/2018,5' Mini Pro,100484,
1803501,1052,Premier,1/11/2018,3/5/2018,5' Standard (Stock),100486,
1803702,1054,Premier,1/11/2018,3/5/2018,7' Standard (Stock),100488,
1803604,1053,Premier,1/11/2018,3/23/2018,6' Standard (Stock),100487,
1801802P,1074,Premier,1/23/2018,1/26/2018,8' Pro,100490,
1801701P,1081,Premier,1/24/2018,1/31/2018,7' Pro,100491,
1802601,1095,Premier,1/31/2018,2/15/2018,6' Standard w/Tongue and Right Edger,100495,974756
1804703,2,Kim Wilde,1/31/2018,4/23/2018,7' Standard w/tongue and right/left edgers (Black),100492,974767
1805803P,1130,Premier,2/7/2018,5/23/2018,8' Pro,100499,974757
1805502MP,1131,Premier,2/7/2018,5/1/2018,5' Mini Pro,100500,974756
1802602,1129,Premier,2/15/2018,2/22/2018,6' Standard w/Tongue and Right Edger,100501,974760
1802603,1141,Premier,2/20/2018,2/27/2018,6' Standard,100502,974762
1803502,1053.4,Premier,3/20/2018,28-Mar,5' Standard w/Tongue and Right Edger,100513,974763
1803605,1053.5,Premier,3/20/2018,3/28/2018,6' Standard,100514,974763
1803606,1237,Premier,3/21/2018,4/2/2018,6' Standard w/Tongue and Right Edger,100515,974764
,1247,Premier,3/26/2018,4/25/2018,7' Pro,,974758
1804702PR,1247,Premier,3/26/2018,4/25/2018,7' Pro (Refurbished),100525,974766
1804607,1253,Premier,3/30/2018,4/9/2018,6' Standard w/Tongue and Left Edger,100516,974765
1804608,1267,Premier,4/4/2018,4/9/2018,6' Standard w/Tongue and Right Edger,100517,974765
1804609,1296,Premier,4/11/2018,4/25/2018,6' Standard w/Tongue and Right Edger,100521,974766
1804610,1309,Premier,4/12/2018,4/25/2018,6' Standard w/Tongue and Right Edger,100522,974768
1804503,1316,Premier,4/16/2018,4/25/2018,5' Standard w/Tongue and Right Edger,100524,974768
1804504,1357,Premier,4/23/2018,5/3/2018,5' Standard w/Tongue,100528,974769
1804611,1359,Premier,4/23/2018,5/3/2018,6' Standard w/Tongue and Left Edger,100529,974769
1805703P,1384,Premier,4/30/2018,5/30/2018,7' Pro,100530,974773
1805601MP,1399,Premier,5/1/2018,5/8/2018,6' Mini Pro,100527,974769
1805612,1405,Premier,5/2/2018,,6' Standard w/Tongue and Right Edger,100532,974771
1805603MP,1424,Premier,5/7/2018,6/1/2018,6' Mini Pro,100534,974772
1808508,1430,Premier,5/9/2018,8/31/2018,5' Standard w/Tongue and Edger (Left),100570,974787
1809626,1431,Premier,5/9/2018,9/12/2018,6' Standard w/Edger (Right),100571,974787
1808705,1432,Premier,5/9/2018,,7' Standard w/Tongue and Edger (Right),100572,974787
1805613,1440,Premier,5/10/2018,5/18/2018,6' Standard w/Tongue and Left Edger,100535,974771
1805705P,1444,Premier,5/12/2018,5/14/2018,7' Pro,100536,974770
1805614,1481,Premier,5/18/2018,5/30/2018,6' Standard w/Tongue,100539,974774
1805615,1514,Premier,5/29/2018,6/6/2018,6' Standard w/Tongue and Right Edger,100541,974775
1806601P,1516,Premier,5/29/2018,6/12/2018,6' Pro,100537,974780
1806616,1517,Premier,5/29/2018,6/19/2018,6' Standard w/Tongue,100542,974776
1806704,1536,Premier,6/5/2018,6/22/2018,7' Standard w/right Edger,100546,974776
1806503MP,1543,Premier,6/6/2018,7/2/2018,5' Mini Pro,100545,974778
1806706P,1530,Premier,6/8/2018,6/22/2018,7' Pro,100549,974777
1806617,1550,Premier,6/8/2018,6/26/2018,6' Standard w/Tongue,100550,974778
1806505,1551,Premier,6/8/2018,6/28/2018,5' Standard w/Tongue,100551,974778
1807618,1607,Premier,6/29/2018,7/3/2018,6’ standard w/left edger,100554,974779
1807506,1611,Premier,6/29/2018,,5’ standard w/ tongue and right edger,100555,974781
1807507,1613,Premier,6/29/2018,,5’ standard w/tongue and right edger,100556,974781
1807620,1635,Premier,7/9/2018,7/18/2018,6’ standard w/Right edger,100558,974782
1807621T,1642,Premier,7/10/2018,,6' Standard w/Tongue (Tiltable S-Tines),100559,974783
1807804P,1649,Premier,7/12/2018,7/30/2018,8' Pro,100562,974783
1807622,1652,Premier,7/13/2018,,6' Standard w/Tongue and Edger (Right),100560,974783
1807623T,1658,Premier,7/13/2018,7/30/2018,6' Standard (Tiltable S-Tines) w/Tongue and Edger (Left),100561,974784
1807504MP,1697,Premier,7/27/2018,8/3/2018,5' Mini Pro,100568,974786
1808505MP,1726,Premier,8/6/2018,8/17/2008,5' Mini Pro,100573,974787
1808604MP,1735,Premier,8/9/2018,8/23/2018,6' Mini Pro,100575,974788
1808624T,1743,Premier,8/10/2018,8/23/2018,6' Standard (Tiltable S-Tines),100576,974788
,1765,Premier,8/21/2018,,7' Standard,,
1808625T,1766,Premier,8/21/2018,8/30/2018,6' Standard (Tiltable S-Tines) w/Tongue,100579,974789
1808605MP,1779,Premier,8/23/2018,8/31/2018,6' Mini Pro,100581,974789
1808506MP,1788,Premier,8/27/2018,9/18/2018,5' Mini Pro,100583,974790
1808602P,646,Premier,8/28/2018,9/14/2018,6' Pro,,
1809706T,1833,Premier,9/10/2018,9/24/2018,7' Standard w/Tongue (Tiltable S-Tines),100589,974791
1809603P,1841,Premier,9/12/2018,9/24/2018,6'Pro,100590,974791
1809606MP,1846,Premier,9/13/2018,10/2/2018,6' Mini Pro,100591,974794
1809627T,1861,Premier,9/17/2018,10/1/2018,6' Standard (Tiltable S-Tines) w/Tongue,100592,974793
1809509T,1865,Premier,9/17/2018,10/10/2018,5' Standard w/Tongue and Edger (Right) (Tiltable Tines),100593,974795
1809607mp,1876,Premier,9/21/2018,,6' mini pro,100595,974796
1809507mp,1878,Premier,9/21/2018,9/27/2018,5' mini pro,100596,974792
1809628,1889,Premier,9/25/2018,10/2/2018,6' standard tongue and right edger,100597,974794
1811601PLP,1903,Premier,10/2/2018,11/5/2018,6' Pro Lite,100608,392251
1810510T,1907,Premier,10/4/2018,,5' Standard w/Tongue (Tiltable Tines),100601,974797
1810511T,1908,Premier,10/4/2018,,5' Standard w/Tongue (Tiltable Tines),100602,974797
1810604P,1933,Premier,10/12/2018,11/9/2018,6' Pro,100603,392252
1810707P,1937,Premier,10/16/2018,,7'Pro,100604,392253
1811508MP,2004,Premier,11/1/2018,11/15/2018,5' Mini Pro,100609,392253
1811509MP,2021,Premier,11/5/2018,11/21/2018,5' Mini Pro,100610,392254
